SCRIPT,CATEGORY,DESCRIPTION,
add-firewall-rules.ps1,misc,Adds firewall rules for executables (needs admin rights),
add-memo.ps1,misc,Adds a memo text,
alert.ps1,misc,Handles and escalates an alert,
build-repo.ps1,git,Builds a repository,
build-repos.ps1,git,Builds Git repositories,
cd-autostart.ps1,filesystem,Sets the working directory to the user's autostart folder,
cd-crashdumps.ps1,filesystem,Change to the crash dumps folder,
cd-desktop.ps1,filesystem,Sets the working directory to the user's desktop folder,
cd-docs.ps1,filesystem,Sets the working directory to the documents folder,
cd-downloads.ps1,filesystem,Sets the working directory to the user's downloads folder,
cd-dropbox.ps1,filesystem,Sets the working directory to the user's Dropbox folder,
cd-etc.ps1,filesystem,Changes to the /etc directory,
cd-fonts.ps1,filesystem,Sets the working directory to the fonts folder,
cd-home.ps1,filesystem,Sets the working directory to the user's home folder,
cd-music.ps1,filesystem,Set the working directory to the user's music folder,
cd-onedrive.ps1,filesystem,Set the working directory to the user's OneDrive folder,
cd-pics.ps1,filesystem,Set the working directory to the user's pictures folder,
cd-recycle-bin.ps1,filesystem,Set the working directory to the user's recycle bin folder,
cd-repos.ps1,filesystem,Set the working directory to the user's Git repositories folder,
cd-root.ps1,filesystem,Set the working directory to the root directory (C: on Windows),
cd-scripts.ps1,filesystem,Set the working directory to the PowerShell Scripts folder,
cd-ssh.ps1,filesystem,Set the working directory to the user's SSH folder,
cd-up.ps1,filesystem,Set the working directory to one directory level up,
cd-up2.ps1,filesystem,Set the working directory to two directory levels up,
cd-up3.ps1,filesystem,Set the working directory to three directory levels up,
cd-up4.ps1,filesystem,Set the working directory to four directory levels up,
cd-videos.ps1,filesystem,Set the working directory to the user's videos folder,
check-cpu-temp.ps1,misc,Checks the CPU temperature,
check-dns-resolution.ps1,misc,Checks the DNS resolution with frequently used domain names,
check-drive-space.ps1,filesystem,Checks a drive for free space left,
check-file-system.ps1,filesystem,Checks the file system of a drive (needs admin rights),
check-health.ps1,misc,Checks the system health,
check-ipv4-address.ps1,misc,Checks the given IPv4 address for validity,
check-ipv6-address.ps1,misc,Checks the given IPv6 address for validity,
check-mac-address.ps1,misc,Checks the given MAC address for validity,
check-ping.ps1,misc,Checks the ping latency to the internet,
check-subnet-mask.ps1,misc,Checks the given subnet mask for validity,
check-swap-space.ps1,misc,Checks the swap space for free space left,
check-symlinks.ps1,filesystem,Checks every symlink in a directory tree,
check-weather.ps1,misc,Checks the current weather for critical values,
check-windows-system-files.ps1,filesystem,Checks the validity of the Windows system files,
check-xml-file.ps1,filesystem,Checks the given XML file for validity,
clean-repo.ps1,git,Cleans the current/given Git repository from untracked files (including submodules),
clean-repos.ps1,git,Cleans all Git repositories under the current/given directory from untracked files (including submodules),
clear-recycle-bin.ps1,desktop,Removes the content of the recycle bin folder (can not be undo!),
clone-repos.ps1,git,Clones well-known Git repositories,
close-calculator.ps1,desktop,Closes the calculator program gracefully,
close-chrome.ps1,desktop,Closes the Google Chrome Web browser,
close-cortana.ps1,desktop,Closes Cortana gracefully,
close-file-explorer.ps1,desktop,Closes Microsoft File Explorer gracefully,
close-firefox.ps1,desktop,Closes the Mozilla Firefox browser,
close-program.ps1,desktop,Closes the given program gracefully,
close-microsoft-edge.ps1,desktop,Closes the Microsoft Edge Web browser,
close-microsoft-store.ps1,desktop ,Closes the Microsoft Store app,
close-netflix.ps1,desktop,Closes the Netflix application gracefully,
close-onedrive.ps1,desktop,Closes Microsoft OneDrive gracefully,
close-serenade.ps1,desktop,Closes the Serenade.ai application gracefully,
close-snipping-tool.ps1,desktop,Closes the Snipping Tool application gracefully,
close-spotify.ps1,desktop,Closes Spotify,
close-system-settings.ps1,desktop,Closes the System Settings gracefully,
close-thunderbird.ps1,desktop,Closes Mozilla Thunderbird gracefully,
close-vlc.ps1,desktop,Closes the VLC media player application,
close-windows-terminal.ps1,desktop,Closes the Windows Terminal application,
copy-photos-sorted.ps1,desktop,Copy image files sorted by year and month,
configure-git.ps1,git,Sets up the Git user configuration,
convert-csv2txt.ps1,filesystem,Converts the given CSV file into a text list,
convert-mysql2csv.ps1,filesystem,Converts the MySQL database table to a CSV file,
convert-ps2bat.ps1,filesystem,Converts PowerShell script(s) to .bat files,
convert-ps2md.ps1,filesystem,Converts the comment-based help of a PowerShell script to Markdown,
convert-sql2csv.ps1,filesystem,Converts the SQL database table to a CSV file,
convert-txt2wav.ps1,filesystem,Converts text into a audio .WAV file,
decrypt-file.ps1,filesystem,Decrypts a file,
disable-ipv6.ps1,misc,Disables IPv6 (requires admin rights),
disconnect-vpn.ps1,misc,Disconnects the VPN,
download-dir.ps1,filesystem,Downloads a folder (including subfolders) from an URL,
