"StatusCode","Type","ShortDescription","LongDescription"
"100","Informational","Continue ","The initial part of a request has been received and has not yet been rejected by the server. The server intends to send a final response after the request has been fully received and acted upon."
"101","Informational","Switching Protocols ","The server understands and is willing to comply with the client's request, via the Upgrade header field1, for a change in the application protocol being used on this connection."
"102","Informational","Processing ","An interim response used to inform the client that the server has accepted the complete request, but has not yet completed it."
"200","Success","OK ","The request has succeeded."
"201","Success","Created ","The request has been fulfilled and has resulted in one or more new resources being created."
"202","Success","Accepted ","The request has been accepted for processing, but the processing has not been completed. The request might or might not eventually be acted upon, as it might be disallowed when processing actually takes place."
"203","Success","Non-authoritative Information ","The request was successful but the enclosed payload has been modified from that of the origin server's 200 OK response by a transforming proxy1."
"204","Success","No Content ","The server has successfully fulfilled the request and that there is no additional content to send in the response payload body."
"205","Success","Reset Content ","The server has fulfilled the request and desires that the user agent reset the ""document view"", which caused the request to be sent, to its original state as received from the origin server."
"206","Success","Partial Content ","The server is successfully fulfilling a range request for the target resource by transferring one or more parts of the selected representation that correspond to the satisfiable ranges found in the request's Range header field1."
"207","Success","Multi-Status ","A Multi-Status response conveys information about multiple resources in situations where multiple status codes might be appropriate."
"208","Success","Already Reported ","Used inside a DAV: propstat response element to avoid enumerating the internal members of multiple bindings to the same collection repeatedly."
"226","Success","IM Used ","The server has fulfilled a GET request for the resource, and the response is a representation of the result of one or more instance-manipulations applied to the current instance."
"300","Redirection","Multiple Choices ","The target resource has more than one representation, each with its own more specific identifier, and information about the alternatives is being provided so that the user (or user agent) can select a preferred representation by redirecting its request to one or more of those identifiers."
"301","Redirection","Moved Permanently ","The target resource has been assigned a new permanent URI and any future references to this resource ought to use one of the enclosed URIs."
"302","Redirection","Found ","The target resource resides temporarily under a different URI. Since the redirection might be altered on occasion, the client ought to continue to use the effective request URI for future requests."
"303","Redirection","See Other ","The server is redirecting the user agent to a different resource, as indicated by a URI in the Location header field, which is intended to provide an indirect response to the original request."
"304","Redirection","Not Modified ","A conditional GET or HEAD request has been received and would have resulted in a 200 OK response if it were not for the fact that the condition evaluated to false."
"305","Redirection","Use Proxy ","Defined in a previous version of this specification and is now deprecated, due to security concerns regarding in-band configuration of a proxy."
"307","Redirection","Temporary Redirect ","The target resource resides temporarily under a different URI and the user agent MUST NOT change the request method if it performs an automatic redirection to that URI."
"308","Redirection","Permanent Redirect ","The target resource has been assigned a new permanent URI and any future references to this resource ought to use one of the enclosed URIs."
"400","Client Error","Bad Request ","The server cannot or will not process the request due to something that is perceived to be a client error (e.g., malformed request syntax, invalid request message framing, or deceptive request routing)."
"401","Client Error","Unauthorized ","The request has not been applied because it lacks valid authentication credentials for the target resource."
"402","Client Error","Payment Required ","Reserved for future use."
"403","Client Error","Forbidden ","The server understood the request but refuses to authorize it."
"404","Client Error","Not Found ","The origin server did not find a current representation for the target resource or is not willing to disclose that one exists."
"405","Client Error","Method Not Allowed ","The method received in the request-line is known by the origin server but not supported by the target resource."
"406","Client Error","Not Acceptable ","The target resource does not have a current representation that would be acceptable to the user agent, according to the proactive negotiation header fields received in the request1, and the server is unwilling to supply a default representation."
"407","Client Error","Proxy Authentication Required ","Similar to 401 Unauthorized, but it indicates that the client needs to authenticate itself in order to use a proxy."
"408","Client Error","Request Timeout ","The server did not receive a complete request message within the time that it was prepared to wait."
"409","Client Error","Conflict ","The request could not be completed due to a conflict with the current state of the target resource. This code is used in situations where the user might be able to resolve the conflict and resubmit the request."
"410","Client Error","Gone ","The target resource is no longer available at the origin server and that this condition is likely to be permanent."
"411","Client Error","Length Required ","The server refuses to accept the request without a defined Content-Length1."
"412","Client Error","Precondition Failed ","One or more conditions given in the request header fields evaluated to false when tested on the server."
"413","Client Error","Payload Too Large ","The server is refusing to process a request because the request payload is larger than the server is willing or able to process."
"414","Client Error","Request-URI Too Long ","The server is refusing to service the request because the request-target1 is longer than the server is willing to interpret."
"415","Client Error","Unsupported Media Type ","The origin server is refusing to service the request because the payload is in a format not supported by this method on the target resource."
"416","Client Error","Requested Range Not Satisfiable ","None of the ranges in the request's Range header field1 overlap the current extent of the selected resource or that the set of ranges requested has been rejected due to invalid ranges or an excessive request of small or overlapping ranges."
"417","Client Error","Expectation Failed ","The expectation given in the request's Expect header field1 could not be met by at least one of the inbound servers."
"418","Client Error","I'm a teapot ","Any attempt to brew coffee with a teapot should result in the error code ""418 I'm a teapot"". The resulting entity body MAY be short and stout."
"421","Client Error","Misdirected Request ","The request was directed at a server that is not able to produce a response. This can be sent by a server that is not configured to produce responses for the combination of scheme and authority that are included in the request URI."
"422","Client Error","Unprocessable Entity ","The server understands the content type of the request entity (hence a 415 Unsupported Media Type status code is inappropriate), and the syntax of the request entity is correct (thus a 400 Bad Request status code is inappropriate) but was unable to process the contained instructions."
"423","Client Error","Locked ","The source or destination resource of a method is locked."
"424","Client Error","Failed Dependency ","The method could not be performed on the resource because the requested action depended on another action and that action failed."
"426","Client Error","Upgrade Required ","The server refuses to perform the request using the current protocol but might be willing to do so after the client upgrades to a different protocol."
"428","Client Error","Precondition Required ","The origin server requires the request to be conditional."
"429","Client Error","Too Many Requests ","The user has sent too many requests in a given amount of time (""rate limiting"")."
