CATEGORY,AUTHOR,QUOTE,
IQ,Thomas Edison,"Genius is one percent inspiration and ninety-nine percent perspiration.",
Life,Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years.",
Life,Albert Einstein,"Only a life lived for others is a life worthwhile.",
Life,Marilyn Monroe,"Keep smiling, because life is a beautiful thing and there's so much to smile about.",
Life,James M. Barrie,"Life is a long lesson in humility.",
Life,Bob Marley,"Love the life you live. Live the life you love.",
Life,Ray Bradbury,"Life is trying things to see if they work.",
Life,Helen Keller,"Life is either a daring adventure or nothing at all.",
Life,John Lennon,"Life is what happens when you're busy making other plans.",
Life,Jonathan Swift,"May you live all the days of your life.",
Life,Johann Wolfgang von Goethe,"If you want to make life easy, make it hard.",
Success,Dante Alighieri,"Follow your path, and let the people talk.",
Success,Albert Einstein,"Try not to become a man of success, but rather try to become a man of value.",
Success,Steve Jobs,"If you really look closely, most overnight successes took a long time.",
Success,Oprah Winfrey,"You know you are on the road to success if you would do your job and not be paid for it.",
Success,David Brinkley,"A successful man is one who can lay a firm foundation with the bricks others have thrown at him.",
Success,Estee Lauder,"I never dreamed about success, I worked for it.",
Success,Henry David Thoreau,"Success usually comes to those who are too busy to be looking for it.",
Success,Colin Powell,"There are no secrets to success. It is the result of preparation, hard work, and learning from failure.",
Success,John D. Rockefeller,"The secret of success is to do the common thing uncommonly well.",
Various,Abraham Lincoln,"The best thing about the future is that it only comes one day at a time.",
Various,Albert Einstein,"Learn from yesterday, live for today, hope for tomorrow.",
Various,Anne Frank,"Whoever is happy will make others happy too.",
Various,Aristotle,"It is during our darkest moments that we must focus to see the light.",
Various,Benjamin Franklin,"Tell me and I forget. Teach me and I remember. Involve me and I learn.",
Various,Bruce Lee,"Mistakes are always forgivable, if one has the courage to admit them.",
Various,Eleanor Roosevelt,"The future belongs to those who believe in the beauty of their dreams.",
Various,Johann Wolfgang von Goethe,"Difficulties increase the nearer we get to the goal.",
Various,Michelangelo,"Faith in oneself is the best and safest course.",
Various,Sophocles,"It takes both sunshine and rain to make a rainbow.",
Various,Mahatma Gandhi,"We must become the change we want to see.",
Various,Johann Wolfgang von Goethe,"Knowing is not enough; we must apply!",
Various,Immanuel Kant,"Science is organized knowledge. Wisdom is organized life.",
Various,Indira Gandhi,"You can't shake hands with a clenched fist.",
Various,Pierre Auguste Renoir,"The pain passes, but the beauty remains.",
Various,Heraclitus,"All is flux; nothing stays still.",
Various,Japanese proverb,"The day you decide to do it is your lucky day.",
Various,Epictetus,"We have two ears and one mouth so that we can listen twice as much as we speak.",
Various,Cervantes,"Be slow of tongue and quick of eye.",
Various,Nelson Mandela,"The greatest glory in living lies not in never falling, but in rising every time we fall.",
Various,Mother Teresa,"Spread love everywhere you go. Let no one ever come to you without leaving happier.",
Various,Mae West,"You only live once, but if you do it right, once is enough.",
Various,Hans Christian Andersen,"Life itself is the most wonderful fairy tale.",
Various,Walt Disney,"The way to get started is to quit talking and begin doing.",
Various,William Shakespeare,"Having nothing, nothing can he lose.",
Various,Tony Robbins,"The only impossible journey is the one you never begin.",
Various,Ralph Waldo Emerson,"Do not go where the path may lead, go instead where there is no path and leave a trail.",
Various,Margaret Mead,"Always remember that you are absolutely unique. Just like everyone else.",
Various,J.K. Rowling,"When in doubt go to the library.",
Various,Walt Whitman,"Keep your face always toward the sunshine and shadows will fall behind you.",
Various,Edgar Allan Poe,"Believe nothing you hear, and only half that you see.",
Various,Romain Rolland,"A hero is a man who does what he can.",
Various,Mark Twain,"Kindness is the language which the deaf can hear and the blind can see.",
Various,Benjamin Franklin,"By failing to prepare, you are preparing to fail.",
Various,Albert Einstein,"The only thing more dangerous than ignorance is arrogance.",
Various,Marie Curie,"Be less curious about people and more curious about ideas.",
Various,Charles Dickens,"A very little key will open a very heavy door.",
Various,Franklin Pierce,"If your past is limited, your future is boundless.",
Various,Samuel Johnson,"Never trust your tongue when your heart is bitter.",
Various,William James,"The good we do today becomes the happiness of tomorrow.",
Various,Rene Descartes,"Conquer yourself rather than the world.",
Various,Voltaire,"Everything you say should be true, but not everything true should be said.",
Various,Elizabeth Barrett Browning,"Silence is the best response to a fool.",
